node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
65,0,0,2.0,1.0,130.0,1.0,80.0,0,0,0,2 path,1 all neighbours foreign,13.444899559020996,0.5702426391935103
66,0,0,4.0,0.1666666716337204,130.0,0.75,80.0,0,0,0,3+ branch,mixed,18.08650016784668,0.38377926374763865
67,4,4,2.0,0.0,130.0,0.0,47.0,1,0,5,2 path,0 no foreign neighbour,2.7974700927734375,1.147330051044641
68,4,4,2.0,0.0,130.0,0.5,47.0,1,1,5,2 path,mixed,5.9514899253845215,0.763608807974448
69,0,0,2.0,1.0,130.0,0.5,80.0,0,0,0,2 path,mixed,10.47350025177002,0.5407677273872089
70,4,4,4.0,0.1666666716337204,130.0,0.75,47.0,1,1,5,3+ branch,mixed,16.34239959716797,0.5329092515004574
71,0,0,2.0,0.0,130.0,1.0,80.0,0,0,0,2 path,1 all neighbours foreign,11.763899803161621,0.6754112488458593
72,4,4,2.0,0.0,130.0,0.0,47.0,1,1,0,2 path,0 no foreign neighbour,7.737259864807129,0.9258666486177556
73,4,4,4.0,0.1666666716337204,130.0,0.5,47.0,1,1,5,3+ branch,mixed,20.460899353027344,0.5771899372466355
74,4,4,2.0,1.0,130.0,0.5,47.0,1,1,0,2 path,mixed,3.8127899169921875,0.4277376799101391
75,0,0,2.0,0.0,130.0,0.0,80.0,0,0,5,2 path,0 no foreign neighbour,20.282699584960938,0.1546151242864746
76,4,4,2.0,0.0,130.0,1.0,47.0,1,0,5,2 path,1 all neighbours foreign,3.959059953689575,1.0021814867359111
77,0,0,2.0,1.0,130.0,0.5,80.0,0,0,5,2 path,mixed,17.399200439453125,0.41539226856722195
78,7,7,1.0,0.0,75.0,0.0,48.0,1,1,0,1 tip,0 no foreign neighbour,1.0,2.930677924808574
79,7,7,4.0,0.0,75.0,0.0,48.0,1,1,0,3+ branch,0 no foreign neighbour,1.981969952583313,2.943009592187915
80,7,7,2.0,0.0,75.0,0.5,48.0,0,0,9,2 path,mixed,4.032549858093262,0.2761515506916524
81,7,7,2.0,0.0,75.0,0.0,48.0,1,1,0,2 path,0 no foreign neighbour,0.995032012462616,2.958210634397254
82,7,7,2.0,0.0,75.0,0.0,48.0,1,1,0,2 path,0 no foreign neighbour,3.316580057144165,2.9581615585445213
83,7,7,4.0,0.0,75.0,0.0,48.0,1,1,0,3+ branch,0 no foreign neighbour,4.783430099487305,2.937993568668532
84,7,7,2.0,0.0,75.0,0.0,48.0,0,0,9,2 path,0 no foreign neighbour,1.8333300352096558,2.8938150997452294
85,7,7,2.0,0.0,75.0,0.0,48.0,0,0,6,2 path,0 no foreign neighbour,1.948740005493164,2.9009362230702074
86,7,7,4.0,0.0,75.0,0.25,48.0,1,1,0,3+ branch,mixed,6.31574010848999,2.8820500317460453
87,6,6,2.0,0.0,75.0,0.5,18.0,1,1,6,2 path,mixed,2.4262900352478027,3.4741766304114576
88,7,7,2.0,0.0,75.0,0.5,48.0,0,0,9,2 path,mixed,5.830410003662109,3.290713646629673
89,6,6,18.0,0.006535947788506746,75.0,0.7222222222222222,18.0,1,1,0,3+ branch,mixed,1.7005900144577026,6.226505139083313
90,6,6,5.0,0.4000000059604645,75.0,0.4,18.0,1,1,6,3+ branch,mixed,1.0,6.227199229017085
91,6,6,5.0,0.4000000059604645,75.0,0.4,18.0,1,1,6,3+ branch,mixed,51.21139907836914,6.223397184598488
92,6,6,7.0,0.190476194024086,75.0,0.42857142857142855,18.0,1,1,6,3+ branch,mixed,52.582000732421875,6.220055929957778
93,7,7,3.0,1.0,75.0,1.0,48.0,0,0,6,3+ branch,1 all neighbours foreign,1.0,2.983570028224874
94,8,8,2.0,0.0,75.0,1.0,13.0,1,1,6,2 path,1 all neighbours foreign,2.4962399005889893,10.067066048448718
95,8,8,2.0,0.0,75.0,0.5,13.0,1,1,6,2 path,mixed,2.132110118865967,7.995066944346753
96,6,6,14.0,0.0,75.0,0.5,18.0,1,1,1,3+ branch,mixed,52.17539978027344,6.191788005103633
97,8,8,7.0,0.0,75.0,0.14285714285714285,13.0,1,1,6,3+ branch,mixed,1.3335000276565552,7.971073302086183
98,6,6,3.0,0.3333333432674408,75.0,0.0,18.0,1,1,6,3+ branch,0 no foreign neighbour,2.5091300010681152,56.24597596341849
99,8,8,2.0,1.0,75.0,1.0,13.0,1,1,6,2 path,1 all neighbours foreign,2.905910015106201,44.72982675920407
100,7,7,2.0,0.0,75.0,1.0,48.0,0,0,9,2 path,1 all neighbours foreign,6.258639812469482,0.49051393998306264
101,7,7,2.0,0.0,75.0,1.0,48.0,0,0,9,2 path,1 all neighbours foreign,6.441229820251465,0.8319994158631709
102,7,7,2.0,0.0,75.0,1.0,48.0,0,0,9,2 path,1 all neighbours foreign,7.087979793548584,1.9747613450788843
103,6,6,1.0,0.0,75.0,0.0,18.0,1,1,9,1 tip,0 no foreign neighbour,2.5201799869537354,4.504768924844052
104,6,6,1.0,0.0,75.0,0.0,18.0,1,1,9,1 tip,0 no foreign neighbour,1.9870100021362305,4.3716821262273715
105,7,7,2.0,0.0,75.0,0.5,48.0,0,0,6,2 path,mixed,5.085299968719482,1.9748128474469897
106,7,7,2.0,0.0,75.0,0.5,48.0,0,0,9,2 path,mixed,4.612490177154541,1.5594905572317248
107,7,7,2.0,0.0,75.0,0.5,48.0,0,0,6,2 path,mixed,5.441919803619385,16.658237670233195
108,7,7,2.0,0.0,75.0,0.5,48.0,0,0,6,2 path,mixed,5.5252299308776855,10.891005476902066
109,6,6,2.0,0.0,75.0,0.5,18.0,1,1,6,2 path,mixed,1.9726099967956543,9.103277172561029
110,6,6,2.0,0.0,75.0,0.5,18.0,1,1,6,2 path,mixed,2.495690107345581,0.8697509603019102
111,8,8,2.0,0.0,75.0,0.5,13.0,1,1,6,2 path,mixed,2.850369930267334,7.162177696941791
112,8,8,2.0,0.0,75.0,0.5,13.0,1,1,6,2 path,mixed,3.54544997215271,2.4102926662611144
113,8,8,2.0,0.0,75.0,0.5,13.0,1,1,6,2 path,mixed,3.062649965286255,12.856542849620238
114,6,6,1.0,0.0,75.0,0.0,18.0,1,1,9,1 tip,0 no foreign neighbour,2.5638999938964844,3.4441233360912045
115,7,7,2.0,0.0,75.0,0.5,48.0,0,0,9,2 path,mixed,8.716870307922363,2.126211367781433
116,7,7,3.0,0.0,75.0,0.6666666666666666,48.0,0,0,9,3+ branch,mixed,5.813399791717529,2.963485452433456
