dense_id	source_id	cfa_node_ids
3900	8112495	8112495
3901	8112501	8112501
3902	8112585	8112585
3903	8112621	8112621
3904	8112645	8112645
3905	8112663	8112663
3906	8112675	8112675
3907	8112711	8112711
3908	8112759	8112759
3909	8112813	8112813
3910	8112825	8112825
3911	8112843	8112843
3912	8112873	8112873
3913	8112877	8112877
3914	8112879	8112879
3915	8112921	8112921
3916	8113035	8113035
3917	8113107	8113107
3918	8113159	8113159
3919	8113173	8113173
3920	8113191	8113191
3921	8113293	8113293
3922	8113485	8113485
3923	8113599	8113599
3924	8113605	8113605
3925	8113713	8113713
3926	8113743	8113743
3927	8113887	8113887
3928	8113945	8113945
3929	8113993	8113993
3930	8114005	8114005
3931	8114029	8114029
3932	8114065	8114065
3933	8114143	8114143
3934	8114155	8114155
3935	8114179	8114179
3936	8114191	8114191
3937	8114197	8114197
3938	8114451	8114451
3939	8114499	8114499
3940	8114583	8114583
3941	8114631	8114631
3942	8114739	8114739
3943	8114805	8114805
3944	8114877	8114877
3945	8114887	8114887
3946	8114985	8114985
3947	8114991	8114991
3948	8115033	8115033
3949	8115105	8115105
3950	8115177	8115177
3951	8115189	8115189
3952	8115195	8115195
3953	8115225	8115225
3954	8115487	8115487
3955	8115499	8115499
3956	8116225	8116225
3957	8116587	8116587
3958	8117031	8117031
3959	8118001	8118001
3960	8118493	8118493
3961	8118881	8118881
3962	8119561	8119561
3963	8119775	8119775
3964	8121825	8121825
3965	8121831	8121831
3966	8123671	8123671
3967	8123837	8123837
3968	8123843	8123843
3969	8123849	8123849
3970	8123855	8123855
3971	8125997	8125997
3972	8126001	8126001
3973	8126515	8126515
3974	8126985	8126985
3975	8126991	8126991
3976	8127071	8127071
3977	8127175	8127175
3978	8127181	8127181
3979	8127187	8127187
3980	8127325	8127325
3981	8127331	8127331
3982	8127349	8127349
3983	8127383	8127383
3984	8127385	8127385
3985	8127475	8127475
3986	8127481	8127481
3987	8127491	8127491
3988	8127703	8127703
3989	8127705	8127705
3990	8127719	8127719
3991	8127721	8127721
3992	8127749	8127749
3993	8127805	8127805
3994	8127811	8127811
3995	8127817	8127817
3996	8127823	8127823
3997	8127829	8127829
3998	8127835	8127835
3999	8127841	8127841
4000	8127847	8127847
4001	8127851	8127851
4002	8127863	8127863
4003	8127875	8127875
4004	8127881	8127881
4005	8127903	8127903
4006	8127905	8127905
4007	8128375	8128375
4008	8128545	8128545
4009	8128611	8128611
4010	8128615	8128615
4011	8128627	8128627
4012	8128631	8128631
4013	8128633	8128633
4014	8128827	8128827
4015	8128923	8128923
4016	8129301	8129301
4017	8129307	8129307
4018	8129335	8129335
4019	8129359	8129359
4020	8129467	8129467
4021	8129925	8129925
4022	8129927	8129927
4023	8129931	8129931
4024	8129941	8129941
4025	8129951	8129951
4026	8129953	8129953
4027	8129989	8129989
4028	8129993	8129993
4029	8130055	8130055
4030	8130061	8130061
4031	8130063	8130063
4032	8130073	8130073
4033	8130081	8130081
4034	8130117	8130117
4035	8130125	8130125
4036	8130135	8130135
4037	8130165	8130165
4038	8130173	8130173
4039	8130175	8130175
4040	8130177	8130177
4041	8130181	8130181
4042	8130213	8130213
4043	8130221	8130221
4044	8130231	8130231
4045	8130237	8130237
4046	8130257	8130257
4047	8130263	8130263
4048	8130275	8130275
4049	8130277	8130277
4050	8130279	8130279
4051	8130281	8130281
4052	8130317	8130317
4053	8130325	8130325
4054	8130339	8130339
4055	8130341	8130341
4056	8130361	8130361
4057	8130363	8130363
4058	8130365	8130365
4059	8130371	8130371
4060	8130379	8130379
4061	8130391	8130391
4062	8130401	8130401
4063	8130403	8130403
4064	8130407	8130407
4065	8130415	8130415
4066	8130427	8130427
4067	8130439	8130439
4068	8130445	8130445
4069	8130471	8130471
4070	8130473	8130473
4071	8130487	8130487
4072	8130493	8130493
4073	8130495	8130495
4074	8130509	8130509
4075	8130513	8130513
4076	8130531	8130531
4077	8130549	8130549
4078	8130551	8130551
4079	8130555	8130555
4080	8130587	8130587
4081	8130589	8130589
4082	8130593	8130593
4083	8130599	8130599
4084	8130607	8130607
4085	8130609	8130609
4086	8130641	8130641
4087	8130651	8130651
4088	8130657	8130657
4089	8130663	8130663
4090	8130667	8130667
4091	8130669	8130669
4092	8130689	8130689
4093	8130723	8130723
4094	8130769	8130769
4095	8130789	8130789
4096	8130795	8130795
4097	8130813	8130813
4098	8130847	8130847
4099	8130853	8130853
4100	8130867	8130867
4101	8130875	8130875
4102	8130877	8130877
4103	8130891	8130891
4104	8130901	8130901
4105	8130903	8130903
4106	8130911	8130911
4107	8130913	8130913
4108	8130915	8130915
4109	8130927	8130927
4110	8130941	8130941
4111	8130947	8130947
4112	8130953	8130953
4113	8130955	8130955
4114	8130969	8130969
4115	8130971	8130971
4116	8130977	8130977
