node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
187,0,0,0.0,0.0,1.0,,15.0,1,1,9,0 isolated,,2.719980001449585,9.348986189375164
188,0,0,0.0,0.0,1.0,,15.0,1,1,9,0 isolated,,1.0,11.800874615977136
189,3,3,0.0,0.0,1.0,,30.0,1,1,8,0 isolated,,4.7582502365112305,2.127558104940706
190,7,7,0.0,0.0,1.0,,89.0,1,1,1,0 isolated,,1.8139400482177734,3.9543695723043393
191,8,8,0.0,0.0,1.0,,50.0,1,0,9,0 isolated,,2.6608400344848633,6.745221366762276
192,9,9,0.0,0.0,1.0,,30.0,1,0,3,0 isolated,,3.129739999771118,4.594955133218741
193,3,3,0.0,0.0,1.0,,30.0,1,1,9,0 isolated,,3.3628900051116943,4.438569564052166
194,2,2,0.0,0.0,1.0,,38.0,1,0,8,0 isolated,,3.1366899013519287,1.9817072584252495
195,7,7,0.0,0.0,1.0,,89.0,0,0,3,0 isolated,,3.0689499378204346,1.2929251126056194
196,7,7,0.0,0.0,1.0,,89.0,0,0,5,0 isolated,,2.935570001602173,8.248472155379517
197,7,7,0.0,0.0,1.0,,89.0,1,1,1,0 isolated,,2.8604400157928467,7.3141161087886655
