node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,dist_from_mean_coordinate,n_modes,n_routes
513,3,bus+trolley,3.0,0.0,4562.0,1.0,610.0,1,1,2,3+ branch,1 all neighbours foreign,268.22381591796875,0.19217327237129211,2.0,6.0
514,3,bus+trolley,3.0,0.0,4562.0,0.6666666666666666,610.0,1,1,3,3+ branch,mixed,448.1338806152344,0.203982412815094,2.0,8.0
515,3,bus+trolley,5.0,0.0,4562.0,0.6,610.0,1,1,5,3+ branch,mixed,604.0159301757812,0.08868002146482468,2.0,10.0
516,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,0,2 path,mixed,646.5809936523438,0.15811610221862793,2.0,11.0
517,2,bus+tram+trolley,2.0,0.0,4562.0,0.5,88.0,1,1,3,2 path,mixed,261.8515930175781,0.1854248195886612,3.0,6.0
518,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,3,1 tip,0 no foreign neighbour,257.82513427734375,0.08537891507148743,2.0,4.0
519,2,bus+tram+trolley,2.0,1.0,4562.0,0.5,88.0,1,1,4,2 path,mixed,257.8216552734375,0.17030645906925201,3.0,6.0
520,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,3,2 path,0 no foreign neighbour,257.82513427734375,0.08083992451429367,2.0,4.0
521,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,4,2 path,mixed,461.6713562011719,0.17565733194351196,2.0,8.0
522,2,bus+tram+trolley,3.0,0.0,4562.0,0.6666666666666666,88.0,1,1,4,3+ branch,mixed,270.39794921875,0.15997391939163208,3.0,6.0
523,3,bus+trolley,2.0,0.0,4562.0,1.0,610.0,1,1,3,2 path,1 all neighbours foreign,257.82513427734375,0.06761971116065979,2.0,4.0
524,3,bus+trolley,2.0,0.0,4562.0,1.0,610.0,1,1,4,2 path,1 all neighbours foreign,112.0246810913086,0.15574252605438232,2.0,2.0
525,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,3,1 tip,1 all neighbours foreign,53.193878173828125,0.06288236379623413,1.0,1.0
526,2,bus+tram+trolley,5.0,0.10000000149011612,4562.0,0.6,88.0,1,1,3,3+ branch,mixed,336.21710205078125,0.15179698169231415,3.0,8.0
527,2,bus+tram+trolley,3.0,0.0,4562.0,0.6666666666666666,88.0,1,1,3,3+ branch,mixed,564.141845703125,0.2138354331254959,3.0,14.0
528,0,bus,2.0,0.0,4562.0,0.0,3145.0,0,0,4,2 path,0 no foreign neighbour,39.195228576660156,0.1893656700849533,1.0,1.0
529,3,bus+trolley,2.0,0.0,4562.0,0.0,610.0,1,1,3,2 path,0 no foreign neighbour,347.4510498046875,0.05937027931213379,2.0,5.0
530,2,bus+tram+trolley,3.0,0.0,4562.0,0.6666666666666666,88.0,1,1,4,3+ branch,mixed,336.21710205078125,0.14864860475063324,3.0,8.0
