route,n_stops,cohesion,null_cohesion,span
bus:267,56,0.4107142857142857,0.33714285714285713,0.16548696160316467
bus:269,10,0.6,0.40199999999999997,0.027036258950829506
bus:27,56,0.4642857142857143,0.3371428571428571,0.21583566069602966
bus:270,19,0.7368421052631579,0.34736842105263155,0.08688372373580933
bus:271,91,0.5384615384615384,0.3382417582417582,0.1878044158220291
bus:272,28,0.8214285714285714,0.34714285714285714,0.12344517558813095
bus:273,36,0.4166666666666667,0.33666666666666667,0.3271026909351349
bus:275,71,0.5070422535211268,0.32760563380281693,0.16185611486434937
bus:278,23,0.4782608695652174,0.3652173913043478,0.05932021141052246
bus:279,44,0.5454545454545454,0.34090909090909094,0.10598304867744446
bus:28,57,0.6491228070175439,0.3385964912280701,0.18458284437656403
bus:281,44,0.5,0.3463636363636363,0.10413417220115662
bus:282,24,0.5833333333333334,0.35166666666666674,0.05757683143019676
bus:283,36,0.4444444444444444,0.3383333333333334,0.13201837241649628
bus:284,40,0.45,0.3405,0.15475498139858246
bus:285,23,0.6521739130434783,0.34173913043478266,0.06488689035177231
bus:286,39,0.5897435897435898,0.3358974358974358,0.11170034110546112
bus:287,17,0.47058823529411764,0.38117647058823534,0.09503022581338882
bus:288,74,0.40540540540540543,0.3286486486486486,0.17985692620277405
bus:290,70,0.38571428571428573,0.32171428571428573,0.27748170495033264
bus:293,44,0.6136363636363636,0.34772727272727266,0.16934405267238617
bus:294,75,0.5733333333333334,0.32666666666666666,0.2452678382396698
bus:295,54,0.5370370370370371,0.33592592592592596,0.13945242762565613
bus:297,32,0.5,0.353125,0.11708593368530273
bus:299,66,0.4090909090909091,0.3254545454545454,0.24211423099040985
bus:2А,43,0.8372093023255814,0.3455813953488372,0.09800922870635986
bus:2КР,21,0.47619047619047616,0.35238095238095235,0.11751604825258255
bus:2Л,22,0.6818181818181818,0.3790909090909091,0.12728361785411835
bus:2МБ,27,0.7777777777777778,0.34296296296296286,0.07948380708694458
bus:3,67,0.417910447761194,0.32238805970149254,0.12478487193584442
bus:30,24,0.4583333333333333,0.34916666666666674,0.097232386469841
bus:300,48,0.6875,0.34875000000000006,0.17451554536819458
bus:301,44,0.6136363636363636,0.33409090909090916,0.29951682686805725
bus:302,17,0.47058823529411764,0.3752941176470587,0.06266670674085617
bus:303,24,0.625,0.3683333333333334,0.24002669751644135
bus:304,45,0.4,0.33333333333333326,0.634688675403595
bus:305,9,0.4444444444444444,0.43333333333333335,0.07778648287057877
bus:306,23,0.6956521739130435,0.3565217391304348,0.06571086496114731
bus:307,26,0.46153846153846156,0.35230769230769227,0.07105809450149536
bus:309,27,0.4444444444444444,0.34888888888888886,0.071444071829319
bus:31,53,0.5471698113207547,0.3381132075471697,0.14413318037986755
bus:310,13,0.46153846153846156,0.38615384615384607,0.04661990702152252
bus:311,19,0.6842105263157895,0.3526315789473684,0.03518671914935112
bus:312,17,0.6470588235294118,0.3670588235294117,0.03459774702787399
bus:315,37,0.4594594594594595,0.34216216216216216,0.21293218433856964
bus:315.,36,0.4722222222222222,0.3449999999999999,0.21293218433856964
bus:318,14,0.9285714285714286,0.36,0.1519269496202469
bus:319,18,0.7222222222222222,0.3622222222222222,0.20175541937351227
bus:321,9,0.4444444444444444,0.3933333333333333,0.049134474247694016
bus:322,17,0.7647058823529411,0.35764705882352943,0.1565578579902649
bus:324,32,0.65625,0.355,0.211030513048172
bus:325,50,0.5,0.32839999999999997,0.19591766595840454
bus:326,61,0.5901639344262295,0.32491803278688525,0.26396775245666504
bus:327,55,0.509090909090909,0.32909090909090905,0.19030514359474182
