node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,length,gc,n_sample_colors
666,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.2683,703.0,0.3655761024182077,2.0
667,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,3.4709,1136.0,0.3573943661971831,1.0
668,3,T4,1.0,0.0,3.0,0.0,389.0,0,0,4,1 tip,0 no foreign neighbour,1.8671,164.0,0.4329268292682927,1.0
669,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.1333,126.0,0.3888888888888889,1.0
670,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,3.068,1491.0,0.3715627095908786,1.0
671,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.3364,131.0,0.29770992366412213,2.0
672,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.6952,395.0,0.3569620253164557,1.0
673,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,1.9098,143.0,0.32867132867132864,1.0
674,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,14.0,24.0,0.4166666666666667,2.0
675,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,8.1461,1458.0,0.49039780521262005,1.0
676,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.1857,398.0,0.3969849246231156,2.0
677,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.4476,126.0,0.4365079365079365,1.0
678,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.0,116.0,0.4224137931034483,1.0
679,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.3905,126.0,0.4126984126984127,1.0
680,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,3.0241,187.0,0.37433155080213903,1.0
681,5,T7,2.0,0.0,394.0,1.0,163.0,1,1,3,2 path,1 all neighbours foreign,7.5353,1394.0,0.4763271162123386,1.0
682,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.2782,154.0,0.36363636363636365,2.0
